keyword,suggestions,semantic_match,related
sickness,"['disease', 'flu', 'infect', 'syndrome', 'cancer', 'hospital', 'cure', 'infection', 'worsen', 'epidemic', 'measles', 'wellness', 'medication', 'immune', 'vaccination', 'antibiotic', 'aids', 'clinic', 'leukemia', 'diabetes']","['cancer', 'hospital', 'measles', 'medication', 'vaccination', 'antibiotic', 'clinic', 'leukemia', 'physician', 'cyst']","['disease', 'flu', 'infect', 'syndrome', 'cancer', 'hospital', 'cure', 'infection', 'worsen', 'epidemic', 'measles', 'wellness', 'medication', 'immune', 'vaccination', 'antibiotic', 'aids', 'clinic', 'leukemia', 'diabetes', 'physician', 'anemia', 'mental illness', 'disorder', 'diagnose', 'worse', 'cyst', 'alcoholism', 'psychosis', 'recover', 'ill', 'antidote', 'surgery', 'vaccine', 'arsenic', 'loathing', 'wishing', 'complication', 'dose', 'immunity', 'hoarding', 'schizophrenia', 'ulcer', 'treatment', 'asthma', 'medic', 'psychiatrist', 'thermometer', 'toll', 'nurse']"
insulin,"['diabetes', 'glucose', 'injection', 'pituitary', 'thyroid', 'dose']",['thyroid'],"['diabetes', 'glucose', 'injection', 'pituitary', 'thyroid', 'dose']"
discharge,['semen'],['semen'],['semen']
salad,"['greens', 'olive oil', 'celery', 'fruit', 'diet', 'artichoke', 'turnip', 'parsley', 'tofu', 'vegetarian', 'carrot', 'nutritious', 'leek', 'refresh', 'eating', 'herbivore', 'herb', 'pear', 'organic', 'apple']","['greens', 'olive oil', 'celery', 'fruit', 'artichoke', 'turnip', 'parsley', 'tofu', 'vegetarian', 'carrot']","['greens', 'olive oil', 'celery', 'fruit', 'diet', 'artichoke', 'turnip', 'parsley', 'tofu', 'vegetarian', 'carrot', 'nutritious', 'leek', 'refresh', 'eating', 'herbivore', 'herb', 'pear', 'organic', 'apple', 'soup']"
sanity,"['mental health', 'well-being', 'recover', 'maintain', 'healthcare', 'health', 'psychiatrist']",['psychiatrist'],"['mental health', 'well-being', 'recover', 'maintain', 'healthcare', 'health', 'psychiatrist']"
healthcare,"['social security', 'provider', 'benefit', 'socialism', 'lymph', 'wellbeing', 'insured', 'mental illness', 'mandate', 'treatment', 'birth control', 'drugstore', 'jogger', 'insurance', 'medicine', 'care', 'clinic', 'doctor', 'medical']","['social security', 'provider', 'insured', 'drugstore', 'jogger', 'medicine', 'clinic', 'doctor']","['social security', 'provider', 'benefit', 'socialism', 'lymph', 'wellbeing', 'insured', 'mental illness', 'mandate', 'treatment', 'birth control', 'drugstore', 'jogger', 'insurance', 'medicine', 'care', 'clinic', 'doctor', 'medical']"
heartbeat,"['stethoscope', 'alive', 'aerobics', 'blood pressure']",['stethoscope'],"['stethoscope', 'alive', 'aerobics', 'blood pressure']"
forecast,[],[],[]
amino acid,"['protein', 'enzyme', 'olive oil']","['protein', 'olive oil']","['protein', 'enzyme', 'olive oil']"
disorder,"['syndrome', 'schizophrenia', 'psychosis', 'mental health', 'eating', 'thyroid', 'treatment', 'mental', 'psyche', 'anemia', 'condition', 'mental illness', 'hoarding', 'immune', 'sanity', 'alcoholism', 'asthma', 'chromosome', 'diagnose', 'disease']","['thyroid', 'asthma', 'psychiatry']","['syndrome', 'schizophrenia', 'psychosis', 'mental health', 'eating', 'thyroid', 'treatment', 'mental', 'psyche', 'anemia', 'condition', 'mental illness', 'hoarding', 'immune', 'sanity', 'alcoholism', 'asthma', 'chromosome', 'diagnose', 'disease', 'therapy', 'psychiatry', 'learning', 'depression']"
flu,"['epidemic', 'sickness', 'vaccine', 'sick', 'vaccination', 'infection', 'dose', 'immunity', 'air conditioning', 'thermometer', 'wellness', 'intestine', 'microbe', 'disease', 'injection', 'physician', 'pharmacist', 'recovery', 'organism', 'soup']","['vaccine', 'vaccination', 'thermometer', 'intestine', 'physician', 'soup']","['epidemic', 'sickness', 'vaccine', 'sick', 'vaccination', 'infection', 'dose', 'immunity', 'air conditioning', 'thermometer', 'wellness', 'intestine', 'microbe', 'disease', 'injection', 'physician', 'pharmacist', 'recovery', 'organism', 'soup']"
recovery,"['physiotherapist', 'surgery', 'alcoholism', 'recover', 'illness', 'cope', 'mental illness', 'patient', 'treatment', 'breakdown', 'medicine', 'cure', 'therapy', 'antidote', 'spa']","['physiotherapist', 'medicine', 'antidote', 'spa']","['physiotherapist', 'surgery', 'alcoholism', 'recover', 'illness', 'cope', 'mental illness', 'patient', 'treatment', 'breakdown', 'medicine', 'cure', 'therapy', 'antidote', 'spa']"
restore,"['heal', 'recover', 'refresh']",[],"['heal', 'recover', 'refresh']"
heal,"['recover', 'restore', 'remedy', 'medicine', 'physician', 'recovery', 'h', 'medic', 'therapy', 'nurse', 'cortisone', 'wellbeing', 'cope', 'guru', 'better', 'disinfectant', 'aloe', 'infect', 'treatment', 'antibiotic']","['medicine', 'physician', 'medic', 'nurse', 'guru', 'disinfectant', 'antibiotic', 'antiseptic', 'surgeon', 'antidote']","['recover', 'restore', 'remedy', 'medicine', 'physician', 'recovery', 'h', 'medic', 'therapy', 'nurse', 'cortisone', 'wellbeing', 'cope', 'guru', 'better', 'disinfectant', 'aloe', 'infect', 'treatment', 'antibiotic', 'veterinarian', 'antiseptic', 'disease', 'surgeon', 'tonic', 'antidote', 'pill', 'nursing', 'hospital']"
laboratory,"['chemist', 'microbe', 'assistant', 'aide', 'healthcare', 'inspection', 'wellness', 'enzyme', 'insulin', 'disease']","['chemist', 'assistant']","['chemist', 'microbe', 'assistant', 'aide', 'healthcare', 'inspection', 'wellness', 'enzyme', 'insulin', 'disease']"
frisk,[],[],[]
veterinarian,['clinic'],['clinic'],['clinic']
care,"['nurture', 'nurse', 'treatment', 'nursing', 'health', 'dental', 'hospital', 'provider', 'provide', 'succor', 'heath', 'insure', 'prevention', 'oral', 'wellbeing', 'provision', 'bless', 'careless', 'critical', 'first aid']","['nurse', 'dental', 'hospital', 'provider', 'medic', 'clinic', 'gift', 'doctor', 'meth', 'physiotherapist']","['nurture', 'nurse', 'treatment', 'nursing', 'health', 'dental', 'hospital', 'provider', 'provide', 'succor', 'heath', 'insure', 'prevention', 'oral', 'wellbeing', 'provision', 'bless', 'careless', 'critical', 'first aid', 'vet', 'cure', 'medic', 'clinic', 'gift', 'doctor', 'medical', 'aide', 'meth', 'assurance', 'physiotherapist', 'maintain', 'toothpick', 'healthcare', 'aloe', 'state of mind', 'floss', 'safety', 'scare', 'vegan', 'protector', 'vaccination', 'patient', 'contraception', 'emergency', 'feeling', 'nourishment', 'asylum', 'charity', 'cleanse']"
humor,"['wellness', 'doctor', 'sick']",['doctor'],"['wellness', 'doctor', 'sick']"
mental health,"['schizophrenia', 'psychiatry', 'psychologist', 'mental illness', 'sanity', 'state of mind', 'psychosis', 'psychiatrist', 'wellbeing', 'therapist', 'recovery', 'depression']","['psychiatry', 'psychiatrist']","['schizophrenia', 'psychiatry', 'psychologist', 'mental illness', 'sanity', 'state of mind', 'psychosis', 'psychiatrist', 'wellbeing', 'therapist', 'recovery', 'depression']"
diagnose,['psychiatry'],['psychiatry'],['psychiatry']
spastic,['colon'],['colon'],['colon']
air conditioning,[],[],[]
clinic,"['vet', 'therapy', 'medical', 'hospital', 'dental', 'healthcare', 'physician', 'physiotherapist', 'mental illness', 'wellness', 'patient', 'cure', 'medic', 'therapist', 'dentist', 'moisture', 'psychiatry', 'mental', 'psychologist', 'vaccine']","['hospital', 'dental', 'physician', 'physiotherapist', 'medic', 'dentist', 'moisture', 'psychiatry', 'vaccine']","['vet', 'therapy', 'medical', 'hospital', 'dental', 'healthcare', 'physician', 'physiotherapist', 'mental illness', 'wellness', 'patient', 'cure', 'medic', 'therapist', 'dentist', 'moisture', 'psychiatry', 'mental', 'psychologist', 'vaccine']"
treatment,"['therapy', 'spa', 'cortisone', 'physiotherapist', 'antibiotic', 'mental illness', 'first aid', 'disease', 'antidote', 'medication', 'hormone', 'diagnose', 'cure', 'therapist', 'medical', 'beneficial', 'condition', 'prevention', 'immunity', 'schizophrenia']","['spa', 'physiotherapist', 'antibiotic', 'antidote', 'medication', 'antiseptic', 'cancer', 'leukemia', 'doctor', 'nurse']","['therapy', 'spa', 'cortisone', 'physiotherapist', 'antibiotic', 'mental illness', 'first aid', 'disease', 'antidote', 'medication', 'hormone', 'diagnose', 'cure', 'therapist', 'medical', 'beneficial', 'condition', 'prevention', 'immunity', 'schizophrenia', 'mental health', 'wellness', 'emergency', 'alcoholic', 'antiseptic', 'cancer', 'sickness', 'leukemia', 'doctor', 'injection', 'psychologist', 'nurse', 'hospital', 'surgery', 'hair', 'dental']"
improvement,"['better', 'benefit', 'training', 'recovery', 'promote', 'physiotherapist', 'treatment', 'prosper', 'clinic', 'promotion']","['physiotherapist', 'clinic']","['better', 'benefit', 'training', 'recovery', 'promote', 'physiotherapist', 'treatment', 'prosper', 'clinic', 'promotion']"
examination,"['prostate', 'oral', 'inspection', 'failing', 'colon', 'critical', 'diagnose', 'laboratory', 'stethoscope', 'medical']","['prostate', 'colon', 'laboratory', 'stethoscope']","['prostate', 'oral', 'inspection', 'failing', 'colon', 'critical', 'diagnose', 'laboratory', 'stethoscope', 'medical']"
flourish,"['do well', 'nourish', 'prosperity', 'dental']",['dental'],"['do well', 'nourish', 'prosperity', 'dental']"
walk,"['run', 'jog', 'treadmill', 'hiker', 'exercise', 'mobility', 'walker', 'constitution', 'calorie', 'stealth', 'bicycle', 'runner', 'aids', 'jogging', 'stamina', 'humans', 'nature']","['run', 'hiker', 'walker', 'bicycle']","['run', 'jog', 'treadmill', 'hiker', 'exercise', 'mobility', 'walker', 'constitution', 'calorie', 'stealth', 'bicycle', 'runner', 'aids', 'jogging', 'stamina', 'humans', 'nature']"
youth,"['vitality', 'vigor', 'ageless', 'eagerness', 'vain', 'measles', 'alive', 'careless', 'brave', 'prime', 'old age', 'tonic', 'running', 'growing', 'body', 'pulse']","['measles', 'body']","['vitality', 'vigor', 'ageless', 'eagerness', 'vain', 'measles', 'alive', 'careless', 'brave', 'prime', 'old age', 'tonic', 'running', 'growing', 'body', 'pulse']"
coma,"['vegetable', 'consciousness', 'spastic', 'insulin', 'diabetes']",['vegetable'],"['vegetable', 'consciousness', 'spastic', 'insulin', 'diabetes']"
treadmill,"['workout', 'work out', 'jog', 'running', 'aerobics', 'calorie']",['run'],"['workout', 'work out', 'jog', 'running', 'aerobics', 'calorie']"
olive oil,"['vigor', 'salad']",['salad'],"['vigor', 'salad']"
wishing,"['well', 'eagerness', 'do well']",[],"['well', 'eagerness', 'do well']"
cyst,[],[],[]
sustain,"['thrive', 'heartbeat', 'recover', 'benefit', 'stamina', 'environment']",[],"['thrive', 'heartbeat', 'recover', 'benefit', 'stamina', 'environment']"
ageless,['youth'],[],['youth']
malfunction,[],[],[]
assurance,['insurance'],[],['insurance']
alcoholism,"['disease', 'recovery']",[],"['disease', 'recovery']"
thin,"['fine', 'diet', 'anemia', 'runner', 'vegan', 'delicate', 'fiber', 'fit', 'asparagus', 'toothpick', 'leek', 'shape', 'cyclist', 'fitness', 'weight', 'fatty', 'bleed']","['vegan', 'asparagus', 'toothpick', 'leek', 'cyclist', 'fitness', 'fatty', 'bleed']","['fine', 'diet', 'anemia', 'runner', 'vegan', 'delicate', 'fiber', 'fit', 'asparagus', 'toothpick', 'leek', 'shape', 'cyclist', 'fitness', 'weight', 'fatty', 'bleed']"
manage,"['maintain', 'run', 'condition', 'do well', 'improvement', 'overcome', 'endurance', 'promotion']",['run'],"['maintain', 'run', 'condition', 'do well', 'improvement', 'overcome', 'endurance', 'promotion']"
vegetarian,"['tofu', 'herbivore', 'vegan', 'soy', 'veterinarian', 'vegetable', 'granola', 'diet']","['tofu', 'herbivore', 'vegan', 'vegetable', 'granola']","['tofu', 'herbivore', 'vegan', 'soy', 'veterinarian', 'vegetable', 'granola', 'diet']"
feeling,"['aura', 'disposition', 'sexual', 'wellbeing', 'condition', 'state of mind', 'well', 'assurance', 'lasting', 'positivity', 'social security', 'aesthetics', 'humor', 'nag', 'hormone', 'wellness', 'alive', 'happiness', 'warmth', 'ill']","['social security', 'heart']","['aura', 'disposition', 'sexual', 'wellbeing', 'condition', 'state of mind', 'well', 'assurance', 'lasting', 'positivity', 'social security', 'aesthetics', 'humor', 'nag', 'hormone', 'wellness', 'alive', 'happiness', 'warmth', 'ill', 'contentment', 'pulse', 'depression', 'heart']"
walker,"['hiker', 'jogger', 'runner']","['hiker', 'jogger']","['hiker', 'jogger', 'runner']"
provider,"['services', 'caregiver', 'healthcare', 'protector', 'mental health', 'psychologist']",['protector'],"['services', 'caregiver', 'healthcare', 'protector', 'mental health', 'psychologist']"
climber,['hiker'],['hiker'],['hiker']
medicine,"['dose', 'antibiotic', 'pharmacy', 'pill', 'remedy', 'pharmacist', 'antidote', 'doctor', 'tonic', 'treatment', 'cortisone', 'healthcare', 'laxative', 'herbal', 'vaccination', 'first aid', 'clinic', 'psychiatry', 'injection', 'physiology']","['antibiotic', 'pharmacy', 'pill', 'antidote', 'doctor', 'laxative', 'drug', 'herbal', 'vaccination', 'clinic']","['dose', 'antibiotic', 'pharmacy', 'pill', 'remedy', 'pharmacist', 'antidote', 'doctor', 'tonic', 'treatment', 'cortisone', 'healthcare', 'laxative', 'herbal', 'vaccination', 'first aid', 'clinic', 'psychiatry', 'injection', 'physiology', 'steroid', 'anatomy', 'vaccine', 'insulin', 'diagnose', 'heal', 'medic', 'antiseptic', 'sickness', 'stethoscope', 'health', 'medical', 'psychiatrist', 'infection', 'pituitary', 'scrubs', 'dopamine', 'aids', 'veterinarian', 'surgeon', 'herb', 'nurse', 'potion', 'thyroid', 'anemia', 'prevention', 'therapy', 'hospital', 'lipid', 'lymph']"
infect,"['thrive', 'antiseptic', 'lotion']",['antiseptic'],"['thrive', 'antiseptic', 'lotion']"
aloe,"['lotion', 'sunscreen']",[],"['lotion', 'sunscreen']"
semen,"['yoghurt', 'discharge', 'juice']","['yoghurt', 'juice']","['yoghurt', 'discharge', 'juice']"
fruit,"['pomegranate', 'pear', 'smoothie', 'tangerine', 'apple', 'blueberry', 'produce', 'juice', 'lime', 'vegetable', 'juicer', 'grapefruit', 'orange juice', 'nutritious', 'organic', 'blender', 'yogurt', 'salad', 'fibre', 'glucose']","['pomegranate', 'pear', 'tangerine', 'apple', 'blueberry', 'juice', 'lime', 'vegetable', 'juicer', 'grapefruit']","['pomegranate', 'pear', 'smoothie', 'tangerine', 'apple', 'blueberry', 'produce', 'juice', 'lime', 'vegetable', 'juicer', 'grapefruit', 'orange juice', 'nutritious', 'organic', 'blender', 'yogurt', 'salad', 'fibre', 'glucose', 'vitamin', 'vegetarian', 'heath', 'vegan', 'wellness', 'broccoli', 'amino acid', 'granola', 'essential', 'artichoke', 'turnip', 'leek', 'life', 'refresh', 'youth', 'hygiene', 'nourishment', 'recover', 'well-being', 'veterinarian', 'asparagus', 'carrot', 'celery', 'moisture', 'gardener']"
bleed,"['floss', 'first aid', 'injure', 'tampon']","['floss', 'tampon']","['floss', 'first aid', 'injure', 'tampon']"
garlic,"['leek', 'robust', 'olive oil', 'herb']","['leek', 'olive oil', 'herb']","['leek', 'robust', 'olive oil', 'herb']"
asparagus,"['artichoke', 'broccoli', 'parsley', 'greens']","['artichoke', 'broccoli', 'parsley', 'greens']","['artichoke', 'broccoli', 'parsley', 'greens']"
pomegranate,[],[],[]
meth,"['crystal', 'chemist', 'drug']","['crystal', 'chemist', 'drug']","['crystal', 'chemist', 'drug']"
repulse,[],[],[]
inspector,"['inspection', 'detector', 'examination']",[],"['inspection', 'detector', 'examination']"
training,"['athlete', 'safety', 'aerobics', 'physique', 'endurance', 'learning', 'exercise', 'treadmill', 'physiotherapist', 'wellbeing', 'mandatory', 'regime', 'first aid', 'therapist', 'therapy', 'jogging', 'health', 'stamina', 'bike', 'fitness']","['athlete', 'physique', 'physiotherapist', 'mandatory', 'bike', 'fitness']","['athlete', 'safety', 'aerobics', 'physique', 'endurance', 'learning', 'exercise', 'treadmill', 'physiotherapist', 'wellbeing', 'mandatory', 'regime', 'first aid', 'therapist', 'therapy', 'jogging', 'health', 'stamina', 'bike', 'fitness']"
breakdown,"['malfunction', 'enzyme', 'mental', 'crisis', 'overcome', 'psychosis', 'depression']",[],"['malfunction', 'enzyme', 'mental', 'crisis', 'overcome', 'psychosis', 'depression']"
happiness,"['well-being', 'contentment', 'prosperity', 'positivity', 'health', 'dopamine', 'prosper', 'marriage', 'goodness', 'wealth', 'state of mind', 'lifestyle', 'richness', 'insure', 'humor', 'living', 'eternal', 'warmth', 'h', 'providence']","['providence', 'glowing', 'cinnamon', 'sunlight']","['well-being', 'contentment', 'prosperity', 'positivity', 'health', 'dopamine', 'prosper', 'marriage', 'goodness', 'wealth', 'state of mind', 'lifestyle', 'richness', 'insure', 'humor', 'living', 'eternal', 'warmth', 'h', 'providence', 'happening', 'finality', 'fate', 'do well', 'activity', 'limited', 'safety', 'mental health', 'promote', 'vitality', 'alive', 'careless', 'feeling', 'youth', 'charity', 'glowing', 'provide', 'nutritious', 'cinnamon', 'well', 'creativity', 'recovery', 'luxury', 'sunlight']"
plumbing,"['services', 'constipation', 'inspection']",[],"['services', 'constipation', 'inspection']"
cope,"['do well', 'heal']",[],"['do well', 'heal']"
careless,['rude'],[],['rude']
produce,"['organic', 'hemp', 'flourish', 'provide', 'wheat']","['hemp', 'wheat']","['organic', 'hemp', 'flourish', 'provide', 'wheat']"
heart,"['aorta', 'artery', 'pulse', 'transplant', 'organs', 'stethoscope', 'stroke', 'artichoke', 'brave', 'cholesterol', 'blood pressure', 'lung', 'surgery', 'vital', 'alive', 'bleed', 'h', 'goodness', 'liver', 'stamina']","['aorta', 'artery', 'organs', 'stethoscope', 'artichoke', 'cholesterol', 'lung', 'bleed', 'liver', 'kidney']","['aorta', 'artery', 'pulse', 'transplant', 'organs', 'stethoscope', 'stroke', 'artichoke', 'brave', 'cholesterol', 'blood pressure', 'lung', 'surgery', 'vital', 'alive', 'bleed', 'h', 'goodness', 'liver', 'stamina', 'kidney', 'anatomy', 'complication', 'feeling', 'aerobics', 'heal', 'heart attack', 'body', 'pituitary', 'lipid', 'worsen', 'amino acid', 'cortisone', 'willpower', 'anemia', 'caregiver', 'condition', 'healthcare', 'safety', 'dopamine', 'vitality', 'wellness', 'bless', 'sodium', 'warmth', 'care', 'jogging', 'running', 'pill', 'doctor']"
unknowing,[],[],[]
exercise,"['work out', 'aerobics', 'treadmill', 'jog', 'fitness', 'jogging', 'jogger', 'yoga', 'activity', 'walk', 'fit', 'cycling', 'sweatpants', 'physiotherapist', 'running', 'health', 'physique', 'training', 'walker', 'stamina']","['fitness', 'jogger', 'yoga', 'sweatpants', 'physiotherapist', 'walking', 'physique', 'walker', 'sport', 'run']","['work out', 'aerobics', 'treadmill', 'jog', 'fitness', 'jogging', 'jogger', 'yoga', 'activity', 'walk', 'fit', 'cycling', 'sweatpants', 'physiotherapist', 'running', 'health', 'physique', 'training', 'walker', 'stamina', 'athletics', 'calorie', 'hydrate', 'swim', 'athlete', 'vigor', 'diet', 'endurance', 'runner', 'pulse', 'hiker', 'well-being', 'obese', 'mental', 'recovery', 'heath', 'corporal', 'mobility', 'maintain', 'beneficial', 'lifestyle', 'conditions', 'fibre', 'massage', 'robust', 'asthma', 'regime', 'steroid', 'valuable', 'nourishment']"
protector,"['advocate', 'provider', 'angel', 'detector']","['advocate', 'provider']","['advocate', 'provider', 'angel', 'detector']"
celery,"['vegetable', 'peanut butter', 'parsley', 'vegetarian', 'carrot', 'garlic', 'broccoli']","['vegetable', 'parsley', 'vegetarian', 'carrot', 'garlic', 'broccoli']","['vegetable', 'peanut butter', 'parsley', 'vegetarian', 'carrot', 'garlic', 'broccoli']"
surgeon,"['surgery', 'scrubs', 'doctor', 'transplant', 'vet', 'artery', 'stethoscope', 'nurse', 'medical']","['scrubs', 'doctor', 'artery', 'stethoscope', 'nurse']","['surgery', 'scrubs', 'doctor', 'transplant', 'vet', 'artery', 'stethoscope', 'nurse', 'medical']"
consciousness,"['state of mind', 'psyche', 'humans']",[],"['state of mind', 'psyche', 'humans']"
charity,"['benefit', 'aid', 'beneficial', 'goodness', 'disposition', 'advocate', 'aids', 'organism']",['advocate'],"['benefit', 'aid', 'beneficial', 'goodness', 'disposition', 'advocate', 'aids', 'organism']"
nature,"['nurture', 'environment', 'walk', 'commune', 'greens', 'disposition', 'wellbeing', 'hiker', 'recycling', 'ageless', 'herbal', 'genetics', 'organic', 'heath', 'defensive', 'lasting', 'cleansing', 'geyser', 'physiology', 'climber']","['greens', 'hiker', 'herbal', 'walking', 'climber', 'survivor', 'parsley', 'walker', 'herbivore', 'gardener']","['nurture', 'environment', 'walk', 'commune', 'greens', 'disposition', 'wellbeing', 'hiker', 'recycling', 'ageless', 'herbal', 'genetics', 'organic', 'heath', 'defensive', 'lasting', 'cleansing', 'geyser', 'physiology', 'climber', 'sexual', 'alive', 'bless', 'survivor', 'parsley', 'walker', 'jogging', 'herbivore', 'gardener', 'astronomy']"
psychiatrist,"['psychologist', 'therapist', 'mental health', 'psychosis', 'mental illness', 'therapy', 'physiotherapist', 'psyche', 'schizophrenia', 'patient', 'drug', 'medication', 'depression']","['physiotherapist', 'drug', 'medication']","['psychologist', 'therapist', 'mental health', 'psychosis', 'mental illness', 'therapy', 'physiotherapist', 'psyche', 'schizophrenia', 'patient', 'drug', 'medication', 'depression']"
aborigine,[],[],[]
herbivore,['vegetarian'],['vegetarian'],['vegetarian']
running,"['jogging', 'treadmill', 'walking', 'endurance', 'athletics', 'athlete', 'jogger', 'stamina', 'training', 'work out', 'fitness', 'exercise', 'sweatpants', 'starting', 'lifestyle', 'vitality', 'cycling', 'mobility', 'vigor', 'activity']","['walking', 'athlete', 'jogger', 'fitness', 'sport', 'sweatpants', 'asthma', 'cyclist', 'walker', 'gingerbread']","['jogging', 'treadmill', 'walking', 'endurance', 'athletics', 'athlete', 'jogger', 'stamina', 'training', 'work out', 'fitness', 'exercise', 'sweatpants', 'starting', 'lifestyle', 'vitality', 'cycling', 'mobility', 'vigor', 'activity', 'hydrate', 'alive', 'living', 'asthma', 'aerobics', 'fit', 'cyclist', 'walker', 'calorie', 'gingerbread']"
world,"['environment', 'nature', 'crisis', 'infinite', 'wishing', 'unknowing', 'starting', 'physique', 'epidemic', 'better', 'overcome', 'wrestler', 'aids', 'brave', 'disease', 'health', 'greens', 'recycling']","['physique', 'greens']","['environment', 'nature', 'crisis', 'infinite', 'wishing', 'unknowing', 'starting', 'physique', 'epidemic', 'better', 'overcome', 'wrestler', 'aids', 'brave', 'disease', 'health', 'greens', 'recycling']"
glowing,"['disposition', 'aura', 'health']",[],"['disposition', 'aura', 'health']"
leek,"['soup', 'vegetable']","['soup', 'vegetable']","['soup', 'vegetable']"
life,"['vitality', 'heartbeat', 'organism', 'vital', 'alive', 'eternal', 'fate', 'insurance', 'failing', 'insure', 'aorta', 'vigor', 'insured', 'lifestyle', 'risk', 'sustain', 'survivor', 'marriage', 'prime', 'health']","['aorta', 'insured', 'survivor', 'lung', 'heart', 'fitness', 'sunlight', 'herbal', 'vegan', 'liver']","['vitality', 'heartbeat', 'organism', 'vital', 'alive', 'eternal', 'fate', 'insurance', 'failing', 'insure', 'aorta', 'vigor', 'insured', 'lifestyle', 'risk', 'sustain', 'survivor', 'marriage', 'prime', 'health', 'lung', 'heart', 'better', 'flourish', 'fitness', 'sunlight', 'treadmill', 'restore', 'assurance', 'wellbeing', 'starting', 'lasting', 'healthcare', 'do well', 'essential', 'herbal', 'vegan', 'bless', 'valuable', 'birth control', 'chromosome', 'microbe', 'happiness', 'liver', 'riches', 'spent', 'organs', 'succor', 'environment', 'prosperity']"
nurse,"['caregiver', 'doctor', 'hospital', 'scrubs', 'medical', 'medic', 'stethoscope', 'healthcare', 'clinic', 'patient', 'first aid', 'nursing', 'aide', 'heal', 'aid', 'injection', 'surgeon', 'discharge', 'aids', 'health']","['doctor', 'hospital', 'scrubs', 'medic', 'stethoscope', 'clinic', 'surgeon', 'advocate', 'antiseptic', 'medication']","['caregiver', 'doctor', 'hospital', 'scrubs', 'medical', 'medic', 'stethoscope', 'healthcare', 'clinic', 'patient', 'first aid', 'nursing', 'aide', 'heal', 'aid', 'injection', 'surgeon', 'discharge', 'aids', 'health', 'advocate', 'psychosis', 'antiseptic', 'succor', 'nurture', 'medication', 'pulse', 'secretary', 'loathing', 'assistant', 'dose', 'immunity', 'provider', 'mental health', 'vaccination', 'steroid', 'remedy', 'dentist', 'ill', 'psychiatry', 'psychiatrist', 'pharmacist', 'recovery', 'dental']"
diabetes,"['insulin', 'glucose', 'obese', 'amino acid', 'orange juice', 'cholesterol', 'kidney', 'injection']","['obese', 'orange juice', 'cholesterol', 'kidney']","['insulin', 'glucose', 'obese', 'amino acid', 'orange juice', 'cholesterol', 'kidney', 'injection']"
cholesterol,"['lipid', 'heart attack', 'blood pressure', 'fatty']",['fatty'],"['lipid', 'heart attack', 'blood pressure', 'fatty']"
birth control,"['contraception', 'pill', 'prevention', 'hormone', 'pharmacist', 'pharmacy']","['pill', 'pharmacy']","['contraception', 'pill', 'prevention', 'hormone', 'pharmacist', 'pharmacy']"
fate,"['providence', 'crisis', 'ill']",['providence'],"['providence', 'crisis', 'ill']"
physiotherapist,"['spastic', 'therapist']",[],"['spastic', 'therapist']"
wrestler,[],[],[]
laxative,"['constipation', 'fiber', 'herbal']",['herbal'],"['constipation', 'fiber', 'herbal']"
pear,"['apple', 'fruit', 'shape', 'tangerine', 'carrot', 'juice', 'angel']","['apple', 'fruit', 'tangerine', 'carrot', 'juice']","['apple', 'fruit', 'shape', 'tangerine', 'carrot', 'juice', 'angel']"
starting,[],[],[]
osmosis,[],[],[]
body,"['anatomy', 'physiology', 'corporal', 'organs', 'lotion', 'lung', 'lymph', 'hormone', 'enzyme', 'physiotherapist', 'pituitary', 'colon', 'intestine', 'kidney', 'amino acid', 'nudity', 'liver', 'health', 'fitness', 'thyroid']","['physique', 'corporal', 'organs', 'lung', 'physiotherapist', 'colon', 'intestine', 'kidney', 'liver', 'fitness']","['anatomy', 'physiology', 'corporal', 'organs', 'lotion', 'lung', 'lymph', 'hormone', 'enzyme', 'physiotherapist', 'pituitary', 'colon', 'intestine', 'kidney', 'amino acid', 'nudity', 'liver', 'health', 'fitness', 'thyroid', 'aorta', 'artery', 'massage', 'well-being', 'lipid', 'libido', 'sexual', 'steroid', 'heartbeat', 'hygiene', 'protein', 'weight', 'cortisone', 'hernia', 'synapse', 'constipation', 'prostate', 'system', 'constitution', 'nourishment', 'cholesterol', 'heart attack', 'genetics', 'athletics', 'posture', 'workout', 'physician', 'grave', 'medical', 'organism']"
hair,"['condition', 'fine', 'fiber', 'vain', 'tonic', 'h', 'conditions', 'floss', 'thin', 'hygiene', 'moisture', 'fingernail', 'angel', 'growing', 'nurse', 'commune', 'happening', 'kelp', 'fate', 'hiker']","['floss', 'moisture', 'fingernail', 'nurse', 'hiker', 'vegan', 'carrot', 'body', 'secretary']","['condition', 'fine', 'fiber', 'vain', 'tonic', 'h', 'conditions', 'floss', 'thin', 'hygiene', 'moisture', 'fingernail', 'angel', 'growing', 'nurse', 'commune', 'happening', 'kelp', 'fate', 'hiker', 'damage', 'vegan', 'vitality', 'treatment', 'chromosome', 'feeling', 'nourish', 'veterinarian', 'carrot', 'disease', 'genetics', 'humans', 'lotion', 'plumbing', 'body', 'secretary', 'gene']"
filth,[],[],[]
providence,['provide'],[],['provide']
